UniProtID	EnsID
Q53GT1	ENSG00000099910.17
Q9H0H3	ENSG00000183655.13
Q9UH77	ENSG00000146021.15
Q9P2K6	ENSG00000087448.11
Q8WZ60	ENSG00000172578.12
Q8IXQ5	ENSG00000122550.18
Q9P2G9	ENSG00000145332.14
Q9P2J3	ENSG00000198642.8
O95835	ENSG00000131023.13
P48742	ENSG00000273706.5
P48742	ENSG00000274577.2
Q8TBB1	ENSG00000072201.14
Q8N448	ENSG00000139517.9
Q6UWE0	ENSG00000148356.15
Q9UDY8	ENSG00000172175.16
Q13233	ENSG00000095015.6
Q8TCQ1	ENSG00000145416.14
A6NNE9	ENSG00000183654.9
Q9P0N8	ENSG00000099785.11
Q9P2E8	ENSG00000144583.5
Q9NX47	ENSG00000198060.10
O60337	ENSG00000145495.17
Q9H992	ENSG00000136536.15
Q5T0T0	ENSG00000165406.16
Q5T0T0	ENSG00000278545.4
Q86YJ5	ENSG00000139266.6
Q00987	ENSG00000135679.27
O15151	ENSG00000198625.14
Q6ZN04	ENSG00000183496.6
Q5U5Q3	ENSG00000176624.12
O60291	ENSG00000102858.13
Q86YT6	ENSG00000101752.13
Q96AX9	ENSG00000197530.13
O15344	ENSG00000101871.18
Q9UHC7	ENSG00000133606.11
Q9H000	ENSG00000075975.17
Q13064	ENSG00000179455.10
P29372	ENSG00000103152.12
Q9HCI7	ENSG00000174579.5
Q969V5	ENSG00000090432.7
Q8WY64	ENSG00000007944.16
Q9H0A0	ENSG00000135372.10
P46934	ENSG00000069869.17
Q96PU5	ENSG00000049759.20
O76050	ENSG00000107954.11
A8MQ27	ENSG00000214357.9
Q9BR09	ENSG00000124257.7
Q6VVB1	ENSG00000187566.6
Q9Y314	ENSG00000142546.14
Q86WC4	ENSG00000081087.16
O60260	ENSG00000185345.25
P09874	ENSG00000143799.14
Q6ZW49	ENSG00000157212.20
Q9BSM1	ENSG00000115289.14
Q96JY6	ENSG00000120913.24
Q9UPQ7	ENSG00000121440.15
Q96FA3	ENSG00000197329.12
Q8N2H9	ENSG00000174516.15
O60683	ENSG00000157911.11
O00623	ENSG00000108733.11
O75928	ENSG00000078043.16
Q8N2W9	ENSG00000105229.7
Q9BXM7	ENSG00000158828.8
Q8NG27	ENSG00000181191.12
O43164	ENSG00000198961.10
P29590	ENSG00000140464.20
Q07869	ENSG00000186951.17
P37231	ENSG00000132170.24
Q13356	ENSG00000100023.20
O43663	ENSG00000198901.14
Q9UMS4	ENSG00000110107.9
Q15257	ENSG00000119383.21
Q96S21	ENSG00000197562.10
P63244	ENSG00000204628.12
Q9NS91	ENSG00000070950.10
P54725	ENSG00000179262.10
P15918	ENSG00000166349.11
Q7Z6E9	ENSG00000122257.20
Q9BYM8	ENSG00000125826.22
P62877	ENSG00000100387.9
Q5TC82	ENSG00000135870.13
Q96PM5	ENSG00000163743.14
Q8WZ73	ENSG00000092871.17
A6NLU0	ENSG00000223638.4
Q6PCD5	ENSG00000168411.14
O94844	ENSG00000072422.17
O94955	ENSG00000164292.13
Q6R327	ENSG00000164327.14
Q06587	ENSG00000204227.5
Q06587	ENSG00000206287.5
Q06587	ENSG00000226788.3
Q06587	ENSG00000231115.3
Q06587	ENSG00000228520.3
Q06587	ENSG00000235107.3
Q9NVW2	ENSG00000131263.13
Q9Y3C5	ENSG00000123091.5
Q6ZNA4	ENSG00000157450.16
Q9Y4L5	ENSG00000265491.5
Q5XPI4	ENSG00000164068.16
Q96EQ8	ENSG00000101695.10
Q9BV68	ENSG00000070423.18
Q8TEB7	ENSG00000133135.14
O43567	ENSG00000082996.20
Q86XS8	ENSG00000113269.14
Q8IUD6	ENSG00000181481.14
Q8IUD6	ENSG00000291712.1
Q8WVD3	ENSG00000134758.14
Q8WU17	ENSG00000170881.6
Q8WU17	ENSG00000291729.1
Q9UBS8	ENSG00000013561.18
P50876	ENSG00000151692.15
Q7Z419	ENSG00000137393.10
Q96MT1	ENSG00000145860.13
Q9NTX7	ENSG00000118518.17
Q8NC42	ENSG00000163162.9
Q8N8N0	ENSG00000176641.11
Q9H6Y7	ENSG00000108523.16
Q8IYW5	ENSG00000163961.4
Q86T96	ENSG00000164197.12
Q9P0P0	ENSG00000168894.10
Q8N6D2	ENSG00000180537.13
Q96D59	ENSG00000165188.14
Q96GF1	ENSG00000138942.17
Q9NXI6	ENSG00000178828.7
Q5TA31	ENSG00000168159.15
Q5TA31	ENSG00000285426.4
Q9NV58	ENSG00000034677.13
Q6ZMZ0	ENSG00000116514.17
Q99496	ENSG00000121481.12
Q5VTR2	ENSG00000155827.12
Q9H0X6	ENSG00000212864.4
Q9NWF9	ENSG00000011275.19
Q5VTB9	ENSG00000187147.19
Q96BH1	ENSG00000163481.8
Q9BY78	ENSG00000173456.5
Q96EP0	ENSG00000092098.18
Q96EP0	ENSG00000285152.2
Q969K3	ENSG00000170633.17
Q9H0F5	ENSG00000137075.18
Q9H2S5	ENSG00000204618.10
Q9H2S5	ENSG00000206500.9
Q9H2S5	ENSG00000237733.8
Q9H2S5	ENSG00000227171.8
Q9H2S5	ENSG00000230332.8
Q9H2S5	ENSG00000236967.8
Q9H2S5	ENSG00000235022.8
Q9H2S5	ENSG00000230467.8
P78317	ENSG00000063978.17
O75150	ENSG00000103549.22
Q9H4P4	ENSG00000181852.18
Q68DV7	ENSG00000108375.13
Q99942	ENSG00000204308.8
Q99942	ENSG00000225452.5
Q99942	ENSG00000183574.12
Q99942	ENSG00000227277.9
Q99942	ENSG00000223767.5
Q99942	ENSG00000228907.5
Q99942	ENSG00000228405.5
Q9Y252	ENSG00000127870.17
O76064	ENSG00000112130.17
Q96EX2	ENSG00000135119.15
Q8WXG1	ENSG00000134321.13
P10523	ENSG00000130561.17
P10523	ENSG00000281857.3
Q7Z6J0	ENSG00000154447.15
Q9H0F6	ENSG00000179526.17
Q149N8	ENSG00000146414.17
Q8IUQ4	ENSG00000196470.12
O43255	ENSG00000181788.4
O15304	ENSG00000184990.13
Q13309	ENSG00000145604.17
Q9HCE7	ENSG00000198742.10
Q9HAU4	ENSG00000108854.16
O15524	ENSG00000185338.7
O14508	ENSG00000120833.14
O14543	ENSG00000184557.4
Q8WXH5	ENSG00000180008.9
O75159	ENSG00000171150.9
O14544	ENSG00000170677.6
O14512	ENSG00000274229.2
O14512	ENSG00000274211.6
O43791	ENSG00000121067.19
Q99619	ENSG00000111671.10
Q6PJ21	ENSG00000162032.16
Q13501	ENSG00000161011.20
Q13501	ENSG00000284099.3
O95630	ENSG00000124356.17
Q9UNE7	ENSG00000103266.11
Q86TM6	ENSG00000162298.19
Q92844	ENSG00000136560.14
O60907	ENSG00000101849.18
Q13829	ENSG00000109079.10
P21580	ENSG00000118503.18
O60784	ENSG00000100284.22
Q9NS56	ENSG00000197579.8
Q13077	ENSG00000056558.11
Q12933	ENSG00000127191.18
Q13114	ENSG00000131323.17
O43734	ENSG00000056972.21
Q9BUZ4	ENSG00000076604.16
Q9Y4K3	ENSG00000175104.15
Q6Q0C0	ENSG00000131653.14
Q9BWF2	ENSG00000183763.9
Q96RU7	ENSG00000101255.13
Q96F44	ENSG00000154370.16
O60858	ENSG00000204977.10
Q9C019	ENSG00000137384.12
Q9C019	ENSG00000204610.14
Q9C019	ENSG00000235259.8
Q9C019	ENSG00000227147.9
Q9C019	ENSG00000235960.9
Q9C019	ENSG00000233599.8
Q9C019	ENSG00000235905.8
Q9C019	ENSG00000224145.8
Q9Y577	ENSG00000162931.12
Q9C040	ENSG00000109654.16
P19474	ENSG00000132109.10
Q8IYM9	ENSG00000132274.17
P36406	ENSG00000113595.15
O15164	ENSG00000122779.18
Q14258	ENSG00000121060.19
Q12899	ENSG00000137313.15
Q12899	ENSG00000231002.7
Q12899	ENSG00000234046.7
Q12899	ENSG00000228881.7
Q12899	ENSG00000231641.9
Q12899	ENSG00000226060.7
Q12899	ENSG00000230230.7
Q12899	ENSG00000234127.9
P14373	ENSG00000204713.11
P14373	ENSG00000215641.8
P14373	ENSG00000234495.7
P14373	ENSG00000237071.7
P14373	ENSG00000229006.7
Q13263	ENSG00000130726.12
O75382	ENSG00000110171.21
Q9BZY9	ENSG00000137397.18
Q9BZY9	ENSG00000204616.11
Q9BZY9	ENSG00000233573.9
Q9BZY9	ENSG00000224168.9
Q9BZY9	ENSG00000223531.9
Q9BZY9	ENSG00000225130.9
Q13049	ENSG00000119401.11
Q9UPN9	ENSG00000197323.12
Q9UPQ4	ENSG00000104228.13
Q9NQ86	ENSG00000152503.10
O94972	ENSG00000108395.14
O00635	ENSG00000112343.11
Q9HCM9	ENSG00000204599.16
Q9HCM9	ENSG00000206495.12
Q9HCM9	ENSG00000224994.10
Q9HCM9	ENSG00000229929.10
Q9HCM9	ENSG00000230308.10
Q9HCM9	ENSG00000232839.10
Q9HCM9	ENSG00000226437.10
Q9C037	ENSG00000146833.16
Q8WV44	ENSG00000146063.20
Q7Z4K8	ENSG00000163462.19
Q96LD4	ENSG00000132481.7
P0CI25	ENSG00000168930.13
Q9C035	ENSG00000132256.20
Q86XT4	ENSG00000146755.11
Q96A61	ENSG00000183718.6
Q9BRZ2	ENSG00000169871.13
Q8NG06	ENSG00000162722.9
Q8IWR1	ENSG00000213186.8
Q9C030	ENSG00000121236.21
Q9BVG3	ENSG00000116525.14
Q969Q1	ENSG00000158022.7
Q6PJ69	ENSG00000141569.12
Q86WT6	ENSG00000185880.14
Q86WT6	ENSG00000278211.4
Q9C029	ENSG00000146054.18
Q2Q1W2	ENSG00000206557.6
Q2Q1W2	ENSG00000291501.1
Q9BZR9	ENSG00000171206.17
Q9C026	ENSG00000100505.14
Q14669	ENSG00000153827.15
Q8TEL6	ENSG00000100991.12
P53804	ENSG00000182670.14
P62253	ENSG00000132388.13
Q9C0C9	ENSG00000175931.13
Q05086	ENSG00000114062.22
Q15386	ENSG00000009335.19
Q14139	ENSG00000110344.10
O95155	ENSG00000130939.20
P11441	ENSG00000102178.13
Q8IWV7	ENSG00000159459.12
Q8IWV8	ENSG00000024048.11
Q8N806	ENSG00000012963.15
Q8N806	ENSG00000278787.4
P09936	ENSG00000154277.13
Q96T88	ENSG00000276043.5
Q96PU4	ENSG00000147854.18
P40337	ENSG00000134086.11
Q9P253	ENSG00000104142.11
O75717	ENSG00000198554.12
Q9Y6I7	ENSG00000109046.15
Q9H0M0	ENSG00000123124.14
O00308	ENSG00000198373.13
P98170	ENSG00000101966.14
Q86WB0	ENSG00000091732.18
Q96JP5	ENSG00000186660.15
Q8ND25	ENSG00000186187.12
Q8NHG8	ENSG00000180233.11
Q8NEG5	ENSG00000163012.4
Q9HB71	ENSG00000116161.18
Q93034	ENSG00000166266.14
Q92905	ENSG00000121022.14
O94941	ENSG00000185019.17
Q9UJX4	ENSG00000089053.13
Q9Y2U9	ENSG00000165516.11
Q9H1A4	ENSG00000153107.13
Q9UM13	ENSG00000164162.14
Q9UJX5	ENSG00000053900.11
Q9UJX3	ENSG00000196510.14
Q9UJX2	ENSG00000094880.11
Q6PIJ6	ENSG00000145868.17
Q8N668	ENSG00000173163.11
Q9BZK7	ENSG00000177565.19
Q9BYE7	ENSG00000156374.16
Q99627	ENSG00000198612.11
P28328	ENSG00000164751.15
Q9UJV3	ENSG00000080561.14
Q9BYV6	ENSG00000147573.17
Q9BYV2	ENSG00000138100.14
Q96RU8	ENSG00000173334.4
Q9H0C5	ENSG00000064726.10
Q9UKT4	ENSG00000112029.10
Q96GG9	ENSG00000043093.15
Q9BT67	ENSG00000131507.11
O00237	ENSG00000239305.7
Q9NXV2	ENSG00000167977.9
Q9NWU2	ENSG00000101193.8
Q6AZZ1	ENSG00000167333.13
Q8IVU3	ENSG00000138642.16
Q15034	ENSG00000138641.19
Q9HAT8	ENSG00000139946.11
Q9NQC1	ENSG00000043143.22
Q9BW61	ENSG00000130311.11
Q9BT78	ENSG00000138663.9
Q96JK2	ENSG00000139990.18
Q5QP82	ENSG00000122741.16
Q9NV06	ENSG00000164934.15
Q5H9S7	ENSG00000115827.14
Q96Q27	ENSG00000100628.12
Q96Q27	ENSG00000278693.3
Q9Y576	ENSG00000065802.12
Q9NWX5	ENSG00000148331.12
Q9H672	ENSG00000183475.13
Q8WXK4	ENSG00000198881.10
Q8N5U6	ENSG00000022840.17
Q9BSL1	ENSG00000130560.9
Q9H9P5	ENSG00000059145.19
Q8WWF5	ENSG00000105428.6
Q9H9V4	ENSG00000133874.2
Q96BD6	ENSG00000171621.14
Q96A44	ENSG00000175093.5
Q9H1B7	ENSG00000119669.5
Q8WVZ9	ENSG00000120696.9
Q8IY47	ENSG00000170852.12
Q9BQ90	ENSG00000124702.19
Q9UK73	ENSG00000169018.6
Q6ZT12	ENSG00000144357.18
Q6P9F5	ENSG00000204614.9
Q6P9F5	ENSG00000172524.12
Q6P9F5	ENSG00000237046.8
Q6P9F5	ENSG00000228001.8
Q6P9F5	ENSG00000224496.7
O94822	ENSG00000198862.14
O94822	ENSG00000291534.1
Q9H1Y0	ENSG00000057663.16
Q96DE5	ENSG00000166295.9
Q7Z6J8	ENSG00000118420.17
Q9HCI5	ENSG00000198934.5
Q8WV22	ENSG00000169189.17
C9JR72	ENSG00000234438.5
Q92564	ENSG00000109184.15
Q96JN8	ENSG00000215041.10
Q96JN8	ENSG00000288301.1
O95361	ENSG00000221926.13
Q8TEC5	ENSG00000156463.18
Q8NCN4	ENSG00000166439.6
Q9UDY6	ENSG00000137394.14
Q9UDY6	ENSG00000204613.11
Q9UDY6	ENSG00000227472.8
Q9UDY6	ENSG00000229381.8
Q9UDY6	ENSG00000237192.8
Q9UDY6	ENSG00000229346.8
Q9UDY6	ENSG00000235025.8
Q9UDY6	ENSG00000237703.8
Q9H8W5	ENSG00000134253.10
Q9Y508	ENSG00000124226.11
Q8IUR7	ENSG00000114098.18
Q9C0D3	ENSG00000162378.13
Q7Z7L7	ENSG00000160445.11
Q9ULT6	ENSG00000183579.16
Q8TC41	ENSG00000146373.17
Q96EF6	ENSG00000269190.6
Q96EF6	ENSG00000282954.2
Q9BS18	ENSG00000129055.13
Q8NC69	ENSG00000168301.13
Q96L50	ENSG00000165501.17
Q96G75	ENSG00000145916.19
Q9BSK4	ENSG00000141965.5
Q8TEJ3	ENSG00000172985.11
Q6ZMU5	ENSG00000177238.15
Q6TFL4	ENSG00000114796.16
Q9P2G3	ENSG00000197705.10
Q9H871	ENSG00000153561.13
Q9HAY2	ENSG00000177383.5
O15541	ENSG00000125352.6
Q9NVX7	ENSG00000123444.14
Q9NVX7	ENSG00000284900.2
Q8N4N3	ENSG00000135686.13
Q8NEE6	ENSG00000161040.19
O15033	ENSG00000119682.18
Q86UV6	ENSG00000155428.12
Q7L622	ENSG00000092140.16
O60927	ENSG00000204619.8
O60927	ENSG00000206501.8
O60927	ENSG00000236560.6
O60927	ENSG00000237829.6
O60927	ENSG00000234058.6
O60927	ENSG00000233314.6
O60927	ENSG00000237403.6
O60927	ENSG00000227720.6
Q8WXC6	ENSG00000172428.11
Q8WXK3	ENSG00000196372.13
Q8WXI3	ENSG00000146926.11
Q9P2G1	ENSG00000001629.10
Q92519	ENSG00000071575.12
Q5W0B1	ENSG00000152193.8
Q9P0J7	ENSG00000176407.18
Q86V97	ENSG00000165572.8
Q4G163	ENSG00000156509.14
A0AVI4	ENSG00000168936.12
Q96A37	ENSG00000158717.11
Q7L273	ENSG00000104756.17
Q9HBD1	ENSG00000056586.16
Q6ZSG1	ENSG00000141622.14
Q96K19	ENSG00000120925.16
Q8NFY9	ENSG00000163376.11
Q96JP0	ENSG00000145780.8
Q96PX1	ENSG00000141576.16
Q8IVV7	ENSG00000141034.10
Q8IWZ4	ENSG00000150244.12
Q5T197	ENSG00000163357.11
Q8N653	ENSG00000099949.22
Q96DX7	ENSG00000166326.7
Q8N7C3	ENSG00000179046.9
Q7Z3V4	ENSG00000151148.14
Q9BYJ4	ENSG00000258659.7
Q86UD3	ENSG00000173926.6
Q9ULX5	ENSG00000128482.16
Q8WVZ7	ENSG00000188050.3
Q8NA82	ENSG00000173838.12
